Financial Report for PoExSTO (End of Year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This financial report supports effective decision-making and strategic planning in asset management by providing a detailed overview of financial performance, maintenance activities, depreciation, NPV, RONA, condition ratings, risk rankings, and future life cycle costs for each asset class",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The table below summarizes the financial performance of all assets, including activities, values, maintenance costs, depreciation, installation date, lifespan, remaining useful life, WSCAM condition rating, overall risk ranking, future life cycle cost for 10 years, WSCAM state after 10 years if all activities are performed, WSCAM state after 10 years if no activities are performed, and the risk associated with doing nothing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Report Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Asset Class,Asset Name,Initial Cost ($),Installation Date,Lifespan (years),Remaining Useful Life (years),Maintenance Cost/Yr ($),Depreciation Rate (%),Depreciation/Yr ($),Potential ROI (%),Replacement Value ($),NPV ($),RONA (%),Activities Performed,Total Activity Cost ($),WSCAM Condition Rating,Overall Risk Ranking,Future Life Cycle Cost (10 yrs) ($),WSCAM State After 2 Years (All Activities),WSCAM State After 4 Years (All Activities),WSCAM State After 6 Years (All Activities),WSCAM State After 8 Years (All Activities),WSCAM State After 10 Years (All Activities),RISK Overall Risk Ranking after 10 Years (All activities),WSCAM State After 2 Years (No Activities),WSCAM State After 4 Years (No Activities),WSCAM State After 6 Years (No Activities),WSCAM State After 8 Years (No Activities),WSCAM State After 10 Years (No Activities),Risk After 10 Years (No Activities),,,,,,,,,
1,Bulk Material Handling,BMH System (Weighted AVG),"$1,500,000",2016,20,12,"$370,000",5,"$75,000",9,"$1,800,000","$1,650,000",9,"Maintain, Refurbish, Replace, EOL","$90,000",2 (Good),Medium,"$3,700,000",2 (Good),2 (Good),1 (Excellent),1 (Excellent),1 (Excellent),Low,3 (Average),4 (Poor),4 (Poor),5 (Very Poor),5 (Very Poor),Very High,,,,,,,,,
1.1,Bulk Material Handling,Conveyor System,"$1,000,000",2015,20,11,"$150,000",5,"$50,000",10,"$1,200,000","$1,100,000",9.1,"Belt replacement, Motor maintenance","$60,000",2 (Good),Medium,"$1,500,000",2 (Good),2 (Good),1 (Excellent),1 (Excellent),1 (Excellent),Low,3 (Average),4 (Poor),4 (Poor),5 (Very Poor),5 (Very Poor),Very High,,,,,,,,,
1.2,Bulk Material Handling,Transfer System,"$500,000",2016,20,12,"$220,000",5,"$25,000",8,"$600,000","$550,000",8.2,"Chute cleaning, Feeder maintenance","$30,000",2 (Good),Medium,"$2,200,000",2 (Good),2 (Good),1 (Excellent),1 (Excellent),1 (Excellent),Low,3 (Average),4 (Poor),4 (Poor),5 (Very Poor),5 (Very Poor),Very High,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Storage Sheds,Storgae Sheds (Weighted AVG),"$1,100,000",2016,25,17,"$550,000",5,"$55,000",7,"$1,360,000","$1,230,000",8,"Maintain, Refurbish, Replace, EOL","$70,000",3 (Average),Medium,"$5,500,000",2 (Good),2 (Good),2 (Good),2 (Good),2 (Good),Medium,3 (Average),4 (Poor),4 (Poor),5 (Very Poor),5 (Very Poor),Very High,,,,,,,,,
2.1,Storage Sheds,Structural System,"$800,000",2013,30,19,"$400,000",5,"$40,000",7,"$1,000,000","$900,000",8.2,"Roof repair, Wall maintenance","$50,000",3 (Average),High,"$4,000,000",2 (Good),2 (Good),2 (Good),2 (Good),2 (Good),High,3 (Average),4 (Poor),4 (Poor),5 (Very Poor),5 (Very Poor),Very High,,,,,,,,,
2.2,Storage Sheds,Electrical System,"$300,000",2019,20,15,"$150,000",5,"$15,000",6,"$360,000","$330,000",7.3,"Lighting replacement, Transformer maintenance","$20,000",1 (Excellent),Low,"$1,500,000",1 (Excellent),1 (Excellent),1 (Excellent),1 (Excellent),1 (Excellent),Low,3 (Average),4 (Poor),4 (Poor),5 (Very Poor),5 (Very Poor),Very High,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rail Infrastructure,Rail Infrastructure (Weighted AVG),"$3,100,000",2013,33,22,"$1,425,000",5,"$155,000",10,"$10,220,000","$3,410,000",10,"Maintain, Refurbish, Replace, EOL","$185,000",4 (Poor),Medium,"$14,250,000",3 (Average),3 (Average),2 (Good),2 (Good),2 (Good),Medium,3 (Average),4 (Poor),4 (Poor),5 (Very Poor),5 (Very Poor),Very High,,,,,,,,,
3.1,Rail Infrastructure,Track System,"$2,500,000",2010,40,26,"$1,125,000",5,"$125,000",11,"$3,000,000","$2,750,000",10.2,"Track alignment, Rail replacement","$150,000",4 (Poor),High,"$11,250,000",3 (Average),3 (Average),2 (Good),2 (Good),2 (Good),High,4 (Poor),5 (Very Poor),5 (Very Poor),5 (Very Poor),5 (Very Poor),Very High,,,,,,,,,
